station,state,area,lat,lon,match,query_used
MMSC010,Sabah,Pantai Tanjung Aru (Roll Skating),5.9356507,116.0466981,"Pantai Tanjung Aru, Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88100, Malaysia",Pantai Tanjung Aru
MMSC011,Sabah,Pantai Tanjung Aru (No. 3),5.9356507,116.0466981,"Pantai Tanjung Aru, Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88100, Malaysia","Pantai Tanjung Aru (No. 3), Sabah, Malaysia"
MMSC012,Sabah,Pantai Lok Kawi,5.8381078,116.0428368,"Pusat Internet 1 Malaysia, Jalan Pengalat-Lok Kawi, Lok Kawi Heights, Kinarut, Papar, Bahagian Pantai Barat, Sabah, Malaysia","Pantai Lok Kawi, Sabah, Malaysia"
MMSC013,Sabah,Pantai Dalit Tuaran,,,,"Pantai Dalit Tuaran, Malaysia"
MMSC014,Sabah,Mangrove Paradise,,,,"Mangrove Paradise, Malaysia"
MMSC015,Sabah,Pantai Sabandar,6.194789,116.1910592,"Lorong Sri Sabandar 4, Kampung Bolong, Tuaran, Bahagian Pantai Barat, Sabah, 89208, Malaysia",Pantai Sabandar
MMSC016,Sabah,Pantai Bak-Bak Kudat,6.9467783,116.8398289,"Jalan Pantai Bak Bak, Kudat, Bahagian Kudat, Sabah, 89050, Malaysia",Pantai Bak-Bak Kudat
MMSC017,Sabah,Pasir Putih Sandakan,5.8246843,118.0829613,"Pantai Pasir Putih, Kampung Pukat, Sandakan, Sandakan District, Bahagian Sandakan, Sabah, 90009, Malaysia","Pasir Putih Sandakan, Sabah, Malaysia"
MMSC018,Sabah,Pantai TLDM,6.090274,116.1069291,"Pangkalan TLDM Kota Kinabalu, Jalan Mawilla 2, Kampung Lokbuno, Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88846, Malaysia",Pantai TLDM
MMSC019,Sabah,Pantai Batu Sapi,,,,"Pantai Batu Sapi, Malaysia"
MMSC020,Sabah,Pantai Ulu Tungku,,,,"Pantai Ulu Tungku, Malaysia"
MMSC021,Sabah,Pantai Sarina Kunak,4.6606742,118.2850056,"Pantai Sarina Beach Recreation Center (Knak NT Adventure Sdn Bhd), Kampung Hampilan, Kunak, Bahagian Tawau, Sabah, Malaysia","Pantai Sarina Kunak, Sabah, Malaysia"
MMSC022,Sabah,Pantai Kg. Lamak,,,,"Pantai Kg. Lamak, Malaysia"
MMSC023,Sabah,Pantai Tinagat,,,,"Pantai Tinagat, Malaysia"
MMSC024,Sabah,Pantai Tanjung Aru (Rest Lido),5.9356507,116.0466981,"Pantai Tanjung Aru, Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88100, Malaysia",Pantai Tanjung Aru
MMLC001,W.P. Labuan,Pulau Papan,5.2534704,115.2710188,"Pulau Papan, Bandar Victoria, Labuan, Malaysia","Pulau Papan, Labuan, Malaysia"
MMLC002,W.P. Labuan,Kiamsam,,,,"Kiamsam, Malaysia"
MMLC003,W.P. Labuan,Sungai Pagar,5.300473,115.1756715,"Sungai Pagar Beach, Bandar Victoria, Labuan, Malaysia","Sungai Pagar, Labuan, Malaysia"
MMLC004,W.P. Labuan,LayangLayangan,,,,"LayangLayangan, Malaysia"
MMLC005,W.P. Labuan,Tanjung Aru,5.3346044,115.2464216,"Kampung Tanjung Aru Nelayan, Labuan, Malaysia","Tanjung Aru, Labuan, Malaysia"
