station,state,area,lat,lon,match,query_used
MMQC017,Sarawak,Pantai Mukah,2.9113264,112.0895815,"Pantai Mukah, Mukah, Bahagian Mukah, Sarawak, Malaysia","Pantai Mukah, Sarawak, Malaysia"
MMQC018,Sarawak,Tanjung Kidurong,3.239764,113.0958404,"Tanjung Kidurong, Bintulu, Bahagian Bintulu, Sarawak, 97300, Malaysia","Tanjung Kidurong, Sarawak, Malaysia"
MMQC019,Sarawak,Pasir Pandak,1.6981774,110.3122901,"Kampung Pasir Pandak, Kuching, Bahagian Kuching, Sarawak, 99350, Malaysia","Pasir Pandak, Sarawak, Malaysia"
MMQC020,Sarawak,Rambungan,0.9115594,110.5172488,"Bukit Rambungan, Kampung Terbat Mawang, Tebedu, Bahagian Serian, Sarawak, Malaysia","Rambungan, Sarawak, Malaysia"
MMQC021,Sarawak,Sri Tanjung Lawas,,,,"Sri Tanjung Lawas, Malaysia"
MMQC022,Sarawak,Pantai Luak,4.3097404,113.9637763,"Taman Pantai Luak, Holiday Park, Miri, Bahagian Miri, Sarawak, Malaysia","Pantai Luak, Sarawak, Malaysia"
MMQC023,Sarawak,Pasir Panjang,1.6924088,110.3046059,"Pantai Pasir Panjang, Petra Jaya, Kampung Pasir Pandak, Kuching, Bahagian Kuching, Sarawak, Malaysia","Pasir Panjang, Sarawak, Malaysia"
MMSC001,Sabah,Pantai Teluk Brunei 1,,,,"Pantai Teluk Brunei 1, Malaysia"
MMSC002,Sabah,Pantai Teluk Brunei 2,,,,"Pantai Teluk Brunei 2, Malaysia"
MMSC003,Sabah,Pantai Teluk Brunei 3,,,,"Pantai Teluk Brunei 3, Malaysia"
MMSC004,Sabah,Pantai Teluk Brunei 4,,,,"Pantai Teluk Brunei 4, Malaysia"
MMSC005,Sabah,Pantai Teluk Brunei 5,,,,"Pantai Teluk Brunei 5, Malaysia"
MMSC006,Sabah,Pantai Teluk Brunei 6,,,,"Pantai Teluk Brunei 6, Malaysia"
MMSC007,Sabah,Borneo Golf Seawater,,,,"Borneo Golf Seawater, Malaysia"
MMSC008,Sabah,Pantai Manis Papar,5.7430718,115.9009882,"Sekolah Agama Pantai Manis, Lorong Kosan, Papar, Bahagian Pantai Barat, Sabah, 89608, Malaysia","Pantai Manis Papar, Sabah, Malaysia"
MMSC009,Sabah,Pantai Melinsung,5.774752,115.9669214,"Melinsung Summer Bay Resort Apartment, Jalan Pengalat-Lok Kawi, Taman Pengalat Besar, Kampung Pengalat Besar, Papar, Bahagian Pantai Barat, Sabah, 89600, Malaysia",Pantai Melinsung
